State Name,Year,yield,Avg_Annual_Temperature,Avg_Annual_Rainfall,average_price
Himachal Pradesh,2001,1591.3719999999998,24.73,1105.2,307.19596972271563
Himachal Pradesh,2002,1202.4144999999999,25.0,981.9,187.87829401840492
Himachal Pradesh,2003,1324.4135,24.72,1243.6,184.94695330250462
Himachal Pradesh,2004,1567.217,24.74,1080.5,176.54035590421142
Himachal Pradesh,2005,1179.8685,24.58,1208.3,194.15448920484465
Himachal Pradesh,2006,1598.341,25.06,1161.6,238.7763065652203
Himachal Pradesh,2007,1465.2675,24.77,1179.3,259.28268439756005
Himachal Pradesh,2008,1221.9735,24.61,1118.0,283.79670255183413
Himachal Pradesh,2009,1093.1365,25.11,953.7,302.0420379647749
Himachal Pradesh,2010,1452.1996666666666,25.13,1215.5,253.33105543535876
Himachal Pradesh,2011,1390.0813333333333,24.67,1116.3,128.67280691308093
Himachal Pradesh,2012,1706.4206666666669,24.69,1054.7,131.0606643085711
Himachal Pradesh,2013,1004.5403333333334,24.820000000000004,1092.5,136.6361060792586
Himachal Pradesh,2014,1758.5466666666669,24.73,1045.2,148.0098748510449
Himachal Pradesh,2015,1590.4093333333333,24.91,1189.2,112.2047103314822
Himachal Pradesh,2016,1145.317,25.149999999999995,1198.8,128.20569612772405
Himachal Pradesh,2017,1567.1246666666666,24.790000000000003,1211.0,147.76915776901993
Jharkhand,1994,1337.3441666666668,24.46,1295.3,6.919554455445544
Jharkhand,1997,1347.5383333333334,24.1,1183.1,8.944368268434134
Jharkhand,1998,0.0,24.76,1208.8,9.250178760593219
Jharkhand,1999,440.50083333333333,24.67,1116.6,9.829413873148084
Jharkhand,2000,1597.6883333333335,24.6,1035.4,203.62665521978022
Jharkhand,2001,1751.7075,24.73,1105.2,307.19596972271563
Jharkhand,2002,1257.7475,25.0,981.9,187.87829401840492
Jharkhand,2003,1383.6358333333333,24.72,1243.6,184.94695330250462
Jharkhand,2004,1268.7016666666668,24.74,1080.5,176.54035590421142
Jharkhand,2005,868.9991666666667,24.58,1208.3,194.15448920484465
Jharkhand,2006,1571.5583333333334,25.06,1161.6,238.7763065652203
Jharkhand,2007,1590.1100000000001,24.77,1179.3,259.28268439756005
Jharkhand,2008,1790.4691666666668,24.61,1118.0,283.79670255183413
Jharkhand,2009,1041.765,25.11,953.7,302.0420379647749
Jharkhand,2010,1008.5233333333334,25.13,1215.5,253.33105543535876
Jharkhand,2011,1759.2399999999998,24.67,1116.3,128.67280691308093
Jharkhand,2012,1827.5588888888888,24.69,1054.7,131.0606643085711
Jharkhand,2013,1784.0755555555554,24.820000000000004,1092.5,136.6361060792586
Jharkhand,2014,1675.641111111111,24.73,1045.2,148.0098748510449
Jharkhand,2015,1313.875,24.91,1189.2,112.2047103314822
Jharkhand,2016,2015.2972222222222,25.149999999999995,1198.8,128.20569612772405
Jharkhand,2017,668.676111111111,24.790000000000003,1211.0,147.76915776901993
Karnataka,1994,1421.595,24.46,1295.3,6.919554455445544
Karnataka,1995,1402.172894736842,25.29,1242.4,7.03345156555773
Karnataka,1996,1447.9207894736842,24.55,1182.9,8.187600353243418
Karnataka,1997,1250.459210526316,24.1,1183.1,8.944368268434134
Karnataka,1998,1417.0097368421052,24.76,1208.8,9.250178760593219
Karnataka,1999,1438.6505263157896,24.67,1116.6,9.829413873148084
Karnataka,2000,1401.315,24.6,1035.4,203.62665521978022
Karnataka,2001,1269.561052631579,24.73,1105.2,307.19596972271563
Karnataka,2002,1124.9507894736842,25.0,981.9,187.87829401840492
Karnataka,2003,1226.6315789473686,24.72,1243.6,184.94695330250462
Karnataka,2004,1514.1542105263156,24.74,1080.5,176.54035590421142
Karnataka,2005,1480.0339473684212,24.58,1208.3,194.15448920484465
Karnataka,2006,1377.3652631578946,25.06,1161.6,238.7763065652203
Karnataka,2007,1539.6260526315787,24.77,1179.3,259.28268439756005
Karnataka,2008,1716.3976315789473,24.61,1118.0,283.79670255183413
Karnataka,2009,1440.1868421052632,25.11,953.7,302.0420379647749
Karnataka,2010,1240.0663157894737,25.13,1215.5,253.33105543535876
Karnataka,2011,1161.8019298245615,24.67,1116.3,128.67280691308093
Karnataka,2012,1060.9307017543858,24.69,1054.7,131.0606643085711
Karnataka,2013,1249.7833333333335,24.820000000000004,1092.5,136.6361060792586
Karnataka,2014,1322.8342105263157,24.73,1045.2,148.0098748510449
Karnataka,2015,1110.4870175438598,24.91,1189.2,112.2047103314822
Karnataka,2016,1090.5287719298244,25.149999999999995,1198.8,128.20569612772405
Karnataka,2017,1308.54,24.790000000000003,1211.0,147.76915776901993
Kerala,1994,939.698,24.46,1295.3,6.919554455445544
Kerala,1995,1003.769,25.29,1242.4,7.03345156555773
Kerala,1996,970.239,24.55,1182.9,8.187600353243418
Kerala,1997,953.2575,24.1,1183.1,8.944368268434134
